StationId,Date,PM2.5,PM10,NO,NO2,NH3,CO,SO2,O3,AQI,AQI_Bucket
DL032,2018-11-30,258.46,382.51,37.52,51.47,66.72,2.36,22.29,22.88,416.0,Severe
DL019,2016-01-05,317.02,520.88,122.73,133.4,43.62,2.5,30.65,27.33,516.0,Severe
DL002,2019-12-21,325.42,435.52,103.49,182.69,127.17,1.81,4.75,64.59,577.0,Severe
DL027,2019-01-03,380.88,491.33,106.03,31.25,97.34,2.79,3.94,8.8,484.0,Severe
DL028,2018-11-06,182.93,182.93,3.92,78.1,54.26,1.08,14.58,308.9,419.0,Severe
DL035,2018-11-09,285.26,369.17,24.35,59.42,36.06,2.04,10.55,49.31,465.0,Severe
DL019,2015-11-21,278.58,352.03,154.04,103.11,34.28,3.06,22.89,28.15,406.0,Severe
DL015,2018-02-08,330.83,549.36,51.39,93.2,63.43,2.04,12.73,17.4,507.0,Severe
DL028,2015-12-01,215.94,215.94,34.24,103.07,49.39,2.21,29.03,369.03,419.0,Severe
DL031,2019-12-30,276.99,500.18,25.88,57.05,56.44,1.25,9.38,84.83,550.0,Severe
DL028,2018-06-15,113.29,113.29,7.95,29.65,42.06,0.44,11.38,565.25,463.0,Severe
DL003,2018-12-27,389.93,509.79,129.22,85.6,36.86,3.12,23.71,28.96,524.0,Severe
DL010,2019-12-28,307.96,540.21,97.81,45.28,32.46,2.44,17.02,8.42,576.0,Severe
DL002,2016-11-22,233.98,771.83,222.76,146.46,112.6,5.74,27.28,21.0,426.0,Severe
DL029,2019-12-30,328.26,503.04,102.53,54.65,76.16,2.6,5.21,2.53,535.0,Severe
DL002,2016-12-06,444.76,710.56,23.64,48.25,81.06,5.83,21.48,23.28,547.0,Severe
DL016,2019-01-19,257.2,428.79,166.38,110.75,56.72,2.86,22.3,18.72,409.0,Severe
DL028,2016-10-28,292.76,292.76,48.94,102.21,51.57,4.07,23.97,406.67,431.0,Severe
DL002,2015-05-05,269.0,619.08,13.78,128.21,41.2,3.11,29.38,13.82,611.0,Severe
